station_type,material_name,material_required
Orbital - Installation - Comm Station,Superconductors,60
Orbital - Installation - Relay Station,Superconductors,59
Orbital - Installation - Research Station,Superconductors,88
Surface - Planetary Port - Outpost Civilian,Superconductors,136
Surface - Planetary Port - Outpost Industrial,Superconductors,136
Surface - Planetary Port - Outpost Scientific,Superconductors,136
Surface - Planetary Port - Port,Superconductors,544
Surface - Settlement - Industrial T1 S,Superconductors,14
Surface - Settlement - Industrial T1 M,Superconductors,28
Surface - Settlement - Industrial T2 L,Superconductors,42
Surface - Settlement - Research Bio T1 S,Superconductors,21
Surface - Settlement - Research Bio T1 M,Superconductors,42
Surface - Settlement - Research Bio T2 L,Superconductors,63
Surface - Hub - Scientific,Superconductors,72
Surface - Hub - High Tech,Superconductors,108
Surface - Hub - Industrial,Superconductors,75
Surface - Planetary Port - Outpost Civilian,Structural Regulators,678
Surface - Planetary Port - Outpost Industrial,Structural Regulators,678
Surface - Planetary Port - Outpost Scientific,Structural Regulators,678
Surface - Planetary Port - Port,Structural Regulators,2712
Surface - Settlement - Agriculture T1 S,Structural Regulators,56
Surface - Settlement - Agriculture T1 M,Structural Regulators,112
Surface - Settlement - Agriculture T2 L,Structural Regulators,168
Surface - Settlement - Extraction T1 S,Structural Regulators,74
Surface - Settlement - Extraction T1 M,Structural Regulators,148
Surface - Settlement - Extraction T2 L,Structural Regulators,222
Surface - Settlement - Industrial T1 S,Structural Regulators,68
Surface - Settlement - Industrial T1 M,Structural Regulators,136
Surface - Settlement - Industrial T2 L,Structural Regulators,204
Surface - Settlement - Military T1 S,Structural Regulators,101
Surface - Settlement - Military T1 M,Structural Regulators,202
Surface - Settlement - Military T2 L,Structural Regulators,303
Surface - Settlement - Research Bio T1 S,Structural Regulators,81
Surface - Settlement - Research Bio T1 M,Structural Regulators,162
Surface - Settlement - Research Bio T2 L,Structural Regulators,243
Surface - Settlement - Tourism T1 S,Structural Regulators,57
Surface - Settlement - Tourism T1 M,Structural Regulators,114
Surface - Settlement - Tourism T2 L,Structural Regulators,171
Surface - Hub - Extraction,Structural Regulators,504
Surface - Hub - Civilian,Structural Regulators,336
Surface - Hub - Exploration,Structural Regulators,267
Surface - Hub - Outpost,Structural Regulators,338
Surface - Hub - Scientific,Structural Regulators,445
Surface - Hub - Military,Structural Regulators,542
Surface - Hub - Refinery,Structural Regulators,465
Surface - Hub - High Tech,Structural Regulators,404
Surface - Hub - Industrial,Structural Regulators,498
Orbital - Starport - Coriolis,Steel,14076
Orbital - Starport - Asteroid Base,Steel,14076
Orbital - Starport - Ocellus,Steel,56304
Orbital - Starport - Orbis,Steel,56304
Orbital - Outpost - Commercial,Steel,5588
Orbital - Outpost - Industrial,Steel,5588
Orbital - Outpost - Criminal,Steel,5588
Orbital - Outpost - Civilian,Steel,5588
Orbital - Outpost - Scientific,Steel,5588
Orbital - Outpost - Military,Steel,5588
Orbital - Installation - Satellite,Steel,2542
Orbital - Installation - Comm Station,Steel,2542
Orbital - Installation - Space Farm,Steel,1912
Orbital - Installation - Pirate Base,Steel,1707
Orbital - Installation - Mining Outpost,Steel,2141
Orbital - Installation - Relay Station,Steel,2437
Orbital - Installation - Military,Steel,2966
Orbital - Installation - Security Station,Steel,3645
Orbital - Installation - Government,Steel,3080
Orbital - Installation - Medical,Steel,3084
Orbital - Installation - Research Station,Steel,3136
Orbital - Installation - Tourist,Steel,2598
Orbital - Installation - Space Bar,Steel,2483
Surface - Planetary Port - Outpost Civilian,Steel,10164
Surface - Planetary Port - Outpost Industrial,Steel,10164
Surface - Planetary Port - Outpost Scientific,Steel,10164
Surface - Planetary Port - Port,Steel,60984
Surface - Settlement - Agriculture T1 S,Steel,768
Surface - Settlement - Agriculture T1 M,Steel,1536
Surface - Settlement - Agriculture T2 L,Steel,2304
Surface - Settlement - Extraction T1 S,Steel,1028
Surface - Settlement - Extraction T1 M,Steel,2056
Surface - Settlement - Extraction T2 L,Steel,3084
Surface - Settlement - Industrial T1 S,Steel,1019
Surface - Settlement - Industrial T1 M,Steel,2038
Surface - Settlement - Industrial T2 L,Steel,3057
Surface - Settlement - Military T1 S,Steel,949
Surface - Settlement - Military T1 M,Steel,1898
Surface - Settlement - Military T2 L,Steel,2847
Surface - Settlement - Research Bio T1 S,Steel,945
Surface - Settlement - Research Bio T1 M,Steel,1890
Surface - Settlement - Research Bio T2 L,Steel,2835
Surface - Settlement - Tourism T1 S,Steel,707
Surface - Settlement - Tourism T1 M,Steel,1414
Surface - Settlement - Tourism T2 L,Steel,2121
Surface - Hub - Extraction,Steel,3359
Surface - Hub - Civilian,Steel,3775
Surface - Hub - Exploration,Steel,3547
Surface - Hub - Outpost,Steel,4051
Surface - Hub - Scientific,Steel,3560
Surface - Hub - Military,Steel,3746
Surface - Hub - Refinery,Steel,3720
Surface - Hub - High Tech,Steel,3768
Surface - Hub - Industrial,Steel,3320
Orbital - Starport - Coriolis,Semiconductors,161
Orbital - Starport - Asteroid Base,Semiconductors,161
Orbital - Starport - Ocellus,Semiconductors,322
Orbital - Starport - Orbis,Semiconductors,322
Orbital - Outpost - Commercial,Semiconductors,56
Orbital - Outpost - Industrial,Semiconductors,56
Orbital - Outpost - Criminal,Semiconductors,56
Orbital - Outpost - Civilian,Semiconductors,56
Orbital - Outpost - Scientific,Semiconductors,56
Orbital - Outpost - Military,Semiconductors,56
Orbital - Installation - Satellite,Semiconductors,34
Orbital - Installation - Comm Station,Semiconductors,34
Orbital - Installation - Relay Station,Semiconductors,39
Orbital - Installation - Research Station,Semiconductors,51
Surface - Planetary Port - Outpost Civilian,Semiconductors,102
Surface - Planetary Port - Outpost Industrial,Semiconductors,102
Surface - Planetary Port - Outpost Scientific,Semiconductors,102
Surface - Planetary Port - Port,Semiconductors,408
Surface - Settlement - Industrial T1 S,Semiconductors,14
Surface - Settlement - Industrial T1 M,Semiconductors,28
Surface - Settlement - Industrial T2 L,Semiconductors,42
Surface - Settlement - Research Bio T1 S,Semiconductors,21
Surface - Settlement - Research Bio T1 M,Semiconductors,42
Surface - Settlement - Research Bio T2 L,Semiconductors,63
Surface - Hub - Scientific,Semiconductors,72
Surface - Hub - High Tech,Semiconductors,108
Surface - Hub - Industrial,Semiconductors,75
Orbital - Installation - Mining Outpost,Robotics,60
Surface - Settlement - Extraction T1 S,Robotics,59
Surface - Settlement - Extraction T1 M,Robotics,118
Surface - Settlement - Extraction T2 L,Robotics,177
Surface - Settlement - Industrial T1 S,Robotics,55
Surface - Settlement - Industrial T1 M,Robotics,110
Surface - Settlement - Industrial T2 L,Robotics,165
Surface - Hub - Extraction,Robotics,252
Surface - Hub - Refinery,Robotics,419
Surface - Hub - High Tech,Robotics,449
Surface - Hub - Industrial,Robotics,332
Orbital - Installation - Mining Outpost,Resonating Separators,22
Surface - Settlement - Industrial T1 S,Resonating Separators,14
Surface - Settlement - Industrial T1 M,Resonating Separators,28
Surface - Settlement - Industrial T2 L,Resonating Separators,42
Surface - Hub - Refinery,Resonating Separators,84
Orbital - Installation - Pirate Base,Reactive Armour,23
Orbital - Installation - Military,Reactive Armour,30
Surface - Settlement - Military T1 S,Reactive Armour,24
Surface - Settlement - Military T1 M,Reactive Armour,48
Surface - Settlement - Military T2 L,Reactive Armour,72
Surface - Hub - Military,Reactive Armour,42
Orbital - Starport - Coriolis,Power Generators,65
Orbital - Starport - Asteroid Base,Power Generators,65
Orbital - Starport - Ocellus,Power Generators,130
Orbital - Starport - Orbis,Power Generators,130
Orbital - Outpost - Commercial,Power Generators,19
Orbital - Outpost - Industrial,Power Generators,19
Orbital - Outpost - Criminal,Power Generators,19
Orbital - Outpost - Civilian,Power Generators,19
Orbital - Outpost - Scientific,Power Generators,19
Orbital - Outpost - Military,Power Generators,19
Orbital - Installation - Satellite,Power Generators,9
Orbital - Installation - Comm Station,Power Generators,9
Orbital - Installation - Space Farm,Power Generators,8
Orbital - Installation - Pirate Base,Power Generators,8
Orbital - Installation - Mining Outpost,Power Generators,9
Orbital - Installation - Relay Station,Power Generators,10
Orbital - Installation - Military,Power Generators,18
Orbital - Installation - Security Station,Power Generators,13
Orbital - Installation - Government,Power Generators,13
Orbital - Installation - Medical,Power Generators,19
Orbital - Installation - Research Station,Power Generators,13
Orbital - Installation - Tourist,Power Generators,13
Orbital - Installation - Space Bar,Power Generators,13
Surface - Planetary Port - Outpost Civilian,Power Generators,68
Surface - Planetary Port - Outpost Industrial,Power Generators,68
Surface - Planetary Port - Outpost Scientific,Power Generators,68
Surface - Planetary Port - Port,Power Generators,272
Surface - Hub - Exploration,Power Generators,32
Surface - Hub - Outpost,Power Generators,25
Surface - Hub - Scientific,Power Generators,36
Surface - Hub - Military,Power Generators,38
Surface - Hub - Refinery,Power Generators,28
Surface - Hub - High Tech,Power Generators,27
Surface - Hub - Industrial,Power Generators,25
Orbital - Starport - Coriolis,Polymers,1046
Orbital - Starport - Asteroid Base,Polymers,1046
Orbital - Starport - Ocellus,Polymers,2092
Orbital - Starport - Orbis,Polymers,2092
Orbital - Outpost - Commercial,Polymers,497
Orbital - Outpost - Industrial,Polymers,497
Orbital - Outpost - Criminal,Polymers,497
Orbital - Outpost - Civilian,Polymers,497
Orbital - Outpost - Scientific,Polymers,497
Orbital - Outpost - Military,Polymers,497
Orbital - Installation - Satellite,Polymers,170
Orbital - Installation - Comm Station,Polymers,170
Orbital - Installation - Space Farm,Polymers,230
Orbital - Installation - Pirate Base,Polymers,190
Orbital - Installation - Mining Outpost,Polymers,215
Orbital - Installation - Relay Station,Polymers,195
Orbital - Installation - Military,Polymers,416
Orbital - Installation - Security Station,Polymers,243
Orbital - Installation - Government,Polymers,370
Orbital - Installation - Medical,Polymers,371
Orbital - Installation - Research Station,Polymers,377
Orbital - Installation - Tourist,Polymers,324
Orbital - Installation - Space Bar,Polymers,311
Surface - Planetary Port - Outpost Civilian,Polymers,678
Surface - Planetary Port - Outpost Industrial,Polymers,678
Surface - Planetary Port - Outpost Scientific,Polymers,678
Surface - Planetary Port - Port,Polymers,2712
Surface - Settlement - Agriculture T1 S,Polymers,91
Surface - Settlement - Agriculture T1 M,Polymers,182
Surface - Settlement - Agriculture T2 L,Polymers,273
Surface - Settlement - Extraction T1 S,Polymers,118
Surface - Settlement - Extraction T1 M,Polymers,236
Surface - Settlement - Extraction T2 L,Polymers,354
Surface - Settlement - Industrial T1 S,Polymers,109
Surface - Settlement - Industrial T1 M,Polymers,218
Surface - Settlement - Industrial T2 L,Polymers,327
Surface - Settlement - Military T1 S,Polymers,119
Surface - Settlement - Military T1 M,Polymers,238
Surface - Settlement - Military T2 L,Polymers,357
Surface - Settlement - Research Bio T1 S,Polymers,115
Surface - Settlement - Research Bio T1 M,Polymers,230
Surface - Settlement - Research Bio T2 L,Polymers,345
Surface - Settlement - Tourism T1 S,Polymers,114
Surface - Settlement - Tourism T1 M,Polymers,228
Surface - Settlement - Tourism T2 L,Polymers,342
Surface - Hub - Extraction,Polymers,672
Surface - Hub - Civilian,Polymers,630
Surface - Hub - Exploration,Polymers,666
Surface - Hub - Scientific,Polymers,712
Surface - Hub - Military,Polymers,708
Surface - Hub - Refinery,Polymers,744
Surface - Hub - High Tech,Polymers,673
Surface - Hub - Industrial,Polymers,664
Orbital - Installation - Space Farm,Pesticides,123
Surface - Settlement - Agriculture T1 S,Pesticides,126
Surface - Settlement - Agriculture T1 M,Pesticides,252
Surface - Settlement - Agriculture T2 L,Pesticides,378
Surface - Hub - Civilian,Pesticides,378
Orbital - Starport - Coriolis,Non-Lethal Weapons,25
Orbital - Starport - Asteroid Base,Non-Lethal Weapons,25
Orbital - Starport - Ocellus,Non-Lethal Weapons,50
Orbital - Starport - Orbis,Non-Lethal Weapons,50
Orbital - Outpost - Commercial,Non-Lethal Weapons,13
Orbital - Outpost - Industrial,Non-Lethal Weapons,13
Orbital - Outpost - Criminal,Non-Lethal Weapons,13
Orbital - Outpost - Civilian,Non-Lethal Weapons,13
Orbital - Outpost - Scientific,Non-Lethal Weapons,13
Orbital - Outpost - Military,Non-Lethal Weapons,13
Orbital - Installation - Security Station,Non-Lethal Weapons,19
Orbital - Installation - Government,Non-Lethal Weapons,13
Surface - Planetary Port - Outpost Civilian,Non-Lethal Weapons,34
Surface - Planetary Port - Outpost Industrial,Non-Lethal Weapons,34
Surface - Planetary Port - Outpost Scientific,Non-Lethal Weapons,34
Surface - Planetary Port - Port,Non-Lethal Weapons,136
Orbital - Installation - Mining Outpost,Muon Imager,43
Orbital - Installation - Research Station,Muon Imager,38
Surface - Settlement - Extraction T1 S,Muon Imager,45
Surface - Settlement - Extraction T1 M,Muon Imager,90
Surface - Settlement - Extraction T2 L,Muon Imager,135
Surface - Settlement - Research Bio T1 S,Muon Imager,95
Surface - Settlement - Research Bio T1 M,Muon Imager,190
Surface - Settlement - Research Bio T2 L,Muon Imager,285
Surface - Hub - Extraction,Muon Imager,160
Surface - Hub - Scientific,Muon Imager,107
Surface - Settlement - Industrial T1 S,Mineral Extractors,164
Surface - Settlement - Industrial T1 M,Mineral Extractors,328
Surface - Settlement - Industrial T2 L,Mineral Extractors,492
Surface - Hub - Industrial,Mineral Extractors,415
Orbital - Installation - Military,Military Grade Fabrics,36
Orbital - Installation - Security Station,Military Grade Fabrics,19
Surface - Settlement - Military T1 S,Military Grade Fabrics,24
Surface - Settlement - Military T1 M,Military Grade Fabrics,48
Surface - Settlement - Military T2 L,Military Grade Fabrics,72
Surface - Hub - Military,Military Grade Fabrics,42
Surface - Settlement - Industrial T1 S,Microbial Furnaces,82
Surface - Settlement - Industrial T1 M,Microbial Furnaces,164
Surface - Settlement - Industrial T2 L,Microbial Furnaces,246
Surface - Hub - Industrial,Microbial Furnaces,415
Orbital - Installation - Satellite,Micro Controllers,13
Orbital - Installation - Comm Station,Micro Controllers,13
Orbital - Installation - Military,Micro Controllers,18
Orbital - Installation - Research Station,Micro Controllers,13
Surface - Settlement - Industrial T1 S,Micro Controllers,14
Surface - Settlement - Industrial T1 M,Micro Controllers,28
Surface - Settlement - Industrial T2 L,Micro Controllers,42
Surface - Settlement - Military T1 S,Micro Controllers,12
Surface - Settlement - Military T1 M,Micro Controllers,24
Surface - Settlement - Military T2 L,Micro Controllers,36
Surface - Settlement - Research Bio T1 S,Micro Controllers,14
Surface - Settlement - Research Bio T1 M,Micro Controllers,28
Surface - Settlement - Research Bio T2 L,Micro Controllers,42
Surface - Hub - Scientific,Micro Controllers,49
Surface - Hub - Military,Micro Controllers,55
Surface - Hub - High Tech,Micro Controllers,90
Surface - Hub - Industrial,Micro Controllers,50
Orbital - Starport - Coriolis,Medical Diagnostic Equipment,25
Orbital - Starport - Asteroid Base,Medical Diagnostic Equipment,25
Orbital - Starport - Ocellus,Medical Diagnostic Equipment,50
Orbital - Starport - Orbis,Medical Diagnostic Equipment,50
Orbital - Outpost - Commercial,Medical Diagnostic Equipment,13
Orbital - Outpost - Industrial,Medical Diagnostic Equipment,13
Orbital - Outpost - Criminal,Medical Diagnostic Equipment,13
Orbital - Outpost - Civilian,Medical Diagnostic Equipment,13
Orbital - Outpost - Scientific,Medical Diagnostic Equipment,13
Orbital - Outpost - Military,Medical Diagnostic Equipment,13
Orbital - Installation - Medical,Medical Diagnostic Equipment,99
Orbital - Installation - Research Station,Medical Diagnostic Equipment,51
Surface - Planetary Port - Outpost Civilian,Medical Diagnostic Equipment,48
Surface - Planetary Port - Outpost Industrial,Medical Diagnostic Equipment,48
Surface - Planetary Port - Outpost Scientific,Medical Diagnostic Equipment,48
Surface - Planetary Port - Port,Medical Diagnostic Equipment,192
Surface - Settlement - Research Bio T1 S,Medical Diagnostic Equipment,41
Surface - Settlement - Research Bio T1 M,Medical Diagnostic Equipment,82
Surface - Settlement - Research Bio T2 L,Medical Diagnostic Equipment,123
Surface - Hub - Scientific,Medical Diagnostic Equipment,161
Orbital - Installation - Pirate Base,Liquor,228
Orbital - Installation - Tourist,Liquor,195
Orbital - Installation - Space Bar,Liquor,311
Surface - Settlement - Tourism T1 S,Liquor,128
Surface - Settlement - Tourism T1 M,Liquor,256
Surface - Settlement - Tourism T2 L,Liquor,384
Orbital - Starport - Coriolis,Liquid Oxygen,3781
Orbital - Starport - Asteroid Base,Liquid Oxygen,3781
Orbital - Starport - Ocellus,Liquid Oxygen,15124
Orbital - Starport - Orbis,Liquid Oxygen,15124
Orbital - Outpost - Commercial,Liquid Oxygen,1553
Orbital - Outpost - Industrial,Liquid Oxygen,1553
Orbital - Outpost - Criminal,Liquid Oxygen,1553
Orbital - Outpost - Civilian,Liquid Oxygen,1553
Orbital - Outpost - Scientific,Liquid Oxygen,1553
Orbital - Outpost - Military,Liquid Oxygen,1553
Orbital - Installation - Satellite,Liquid Oxygen,678
Orbital - Installation - Comm Station,Liquid Oxygen,678
Orbital - Installation - Space Farm,Liquid Oxygen,1071
Orbital - Installation - Pirate Base,Liquid Oxygen,911
Orbital - Installation - Mining Outpost,Liquid Oxygen,1028
Orbital - Installation - Relay Station,Liquid Oxygen,780
Orbital - Installation - Military,Liquid Oxygen,1424
Orbital - Installation - Security Station,Liquid Oxygen,1458
Orbital - Installation - Government,Liquid Oxygen,1479
Orbital - Installation - Medical,Liquid Oxygen,1727
Orbital - Installation - Research Station,Liquid Oxygen,1506
Orbital - Installation - Tourist,Liquid Oxygen,1813
Orbital - Installation - Space Bar,Liquid Oxygen,1738
Surface - Planetary Port - Outpost Civilian,Liquid Oxygen,2372
Surface - Planetary Port - Outpost Industrial,Liquid Oxygen,2372
Surface - Planetary Port - Outpost Scientific,Liquid Oxygen,2372
Surface - Planetary Port - Port,Liquid Oxygen,14232
Surface - Settlement - Agriculture T1 S,Liquid Oxygen,224
Surface - Settlement - Agriculture T1 M,Liquid Oxygen,448
Surface - Settlement - Agriculture T2 L,Liquid Oxygen,672
Surface - Settlement - Extraction T1 S,Liquid Oxygen,177
Surface - Settlement - Extraction T1 M,Liquid Oxygen,354
Surface - Settlement - Extraction T2 L,Liquid Oxygen,531
Surface - Settlement - Industrial T1 S,Liquid Oxygen,272
Surface - Settlement - Industrial T1 M,Liquid Oxygen,544
Surface - Settlement - Industrial T2 L,Liquid Oxygen,816
Surface - Settlement - Military T1 S,Liquid Oxygen,172
Surface - Settlement - Military T1 M,Liquid Oxygen,344
Surface - Settlement - Military T2 L,Liquid Oxygen,516
Surface - Settlement - Research Bio T1 S,Liquid Oxygen,351
Surface - Settlement - Research Bio T1 M,Liquid Oxygen,702
Surface - Settlement - Research Bio T2 L,Liquid Oxygen,1053
Surface - Settlement - Tourism T1 S,Liquid Oxygen,227
Surface - Settlement - Tourism T1 M,Liquid Oxygen,454
Surface - Settlement - Tourism T2 L,Liquid Oxygen,681
Surface - Planetary Port - Outpost Civilian,Land Enrichment Systems,68
Surface - Planetary Port - Outpost Industrial,Land Enrichment Systems,68
Surface - Planetary Port - Outpost Scientific,Land Enrichment Systems,68
Surface - Planetary Port - Port,Land Enrichment Systems,272
Surface - Settlement - Agriculture T1 S,Land Enrichment Systems,70
Surface - Settlement - Agriculture T1 M,Land Enrichment Systems,140
Surface - Settlement - Agriculture T2 L,Land Enrichment Systems,210
Orbital - Starport - Coriolis,Insulating Membrane,644
Orbital - Starport - Asteroid Base,Insulating Membrane,644
Orbital - Starport - Ocellus,Insulating Membrane,1288
Orbital - Starport - Orbis,Insulating Membrane,1288
Orbital - Outpost - Commercial,Insulating Membrane,311
Orbital - Outpost - Industrial,Insulating Membrane,311
Orbital - Outpost - Criminal,Insulating Membrane,311
Orbital - Outpost - Civilian,Insulating Membrane,311
Orbital - Outpost - Scientific,Insulating Membrane,311
Orbital - Outpost - Military,Insulating Membrane,311
Orbital - Installation - Satellite,Insulating Membrane,106
Orbital - Installation - Comm Station,Insulating Membrane,106
Orbital - Installation - Space Farm,Insulating Membrane,192
